id,source,text,label,scene_id,movie,classification,notes
31,movie,"""I love you. I knew it the minute I met you. I’m sorry it took so long for me to catch up""",commitment,,silver linings playbook,Explicit declaration of love.,
32,movie,"""I would rather have had one breath of her hair, one kiss of her mouth, one touch of her hand, than eternity without it. One.""",passion,,city of angels,Desire for physical closeness.,
33,movie,"""I am here and I am looking at her. And she is so beautiful""",passion,,the perks of being a wallflower,Physical attraction statements,
34,movie,"""What I really want to do with my life – what I want to do for a living – is I want to be with your daughter. I’m good at it.""",commitment,,say anything,Statements choosing the partner.,
35,movie,"""You pierce my soul.""",intimacy,,persuation,verbalised appreciation,
36,movie,"""in another life, I would have really liked just doing laundry and taxes with you.""",commitment,,"Everything, Everywhere, All at Once",Statements choosing the partner.,secondary intimacy
37,movie,"""Look at her. I would die for her. I would kill for her""",commitment,,The Addams Family ,Sacrifice for the relationship,
38,movie,"""she says, 'I’m impressed' and he replies 'Well, I’m in love.""",commitment,,cruel intentions,Explicit declaration of love.,
39,movie,"""I want to grow old with you.""",commitment,,the wedding singer,Statements choosing the partner.,
40,movie,"""You make my heart skip a beat.""",passion,,no strings attached,Physical attraction statements.,
41,movie,"""Just tell me what you want and I'll be that for you.""",commitment,,the notebook,Sacrifice for the relationship,
42,movie,"""I... am madly in love with you, Penny. You're my favorite, favorite thing.""",commitment,,Seeking A Friend For The End Of The World,Explicit declaration of love.,
43,movie,"""You smelled so good, like you just woke up, slightly sweaty.""",passion,script page 73,eternal sunshine of the spotless mind,Physical attraction statements.,
44,movie,""" I've never loved anyone the way I loved you.""",intimacy,,HER,Verbalized appreciation.,shadow of commitment
45,movie,"""Nothing will be able to tear us apart then.""",commitment,,HER,statements choosing the partner.,
46,movie,"""Passionately, they gaze into each other’s eyes as the music plays.""",passion,,blue valentine,Physical attraction statements.,
47,movie,"""I vow to fiercely love you in all your forms, now and forever. """,commitment,,the vow,Explicit declaration of love.,
48,movie,"""But when I think of her - of Elisa - the only thing that comes to mind is a poem, whispered by someone in love""",intimacy,,the shape of water,verbalised appreciation,
49,movie,"""He sees me, for what I - am, as I am. He's happy - to see me.""",intimacy,,the shape of water,personal disclosure.,
50,movie,"""When I look at you, I can feel it. I look at you and I'm home.""",intimacy,,finding nemo,verbalised appreciation,
51,movie,"""When I first saw you, I felt like I knew you, and I couldn’t stop seeing my life with you, and building a family together.""",commitment,,The Light Between Oceans,Statements choosing the partner.,Future planning together
52,movie,"""Whatever our souls are made of, his and mine are the same.""",intimacy,,Wuthering Heights,shared vulnrability,
53,movie,"""If I had a flower for every time I thought of you… I could walk through my garden forever.""",passion,,Queen Mary,Obsessive thinking about the partner.,
54,movie,"""It’s like in that moment the whole universe existed just to bring us together.""",intimacy,,serendipity,verbalised appreciation,
55,movie,"""If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you""",commitment,,winnie the pooh,Sacrifice for the relationship,
56,movie,""" I might be the only person on the face of the earth that knows you’re the greatest woman on earth. I might be the only one who appreciates how amazing you are in every single thing that you do""",intimacy,,as good as it gets,verbalised appreciation,
57,movie,"""You should be kissed and often, and by someone who knows how""",passion,,gone with the wind,Desire for physical closeness,
58,movie,"""You were my new dream""",intimacy,,tangled,verbalised appreciation,
59,movie,"""Meg, When I'm With You... I Don't Feel So Alone.""",intimacy,,Hercules,personal disclosure,verbalised appreciation
60,movie,"""For It's Plain As Anyone Can See, We're Simply Meant To Be.""",commitment,,The Nightmare Before Christmas,Statements choosing the partner.,
61,movie,"""I've Never Felt This Way About Anyone. I Want To Do Something For Her... But What?""",intimacy,,beauty and the beast,verbalised appreciation,
62,movie,"""I want all of you, forever, everyday. You and me everyday!""",commitment,,the notebook,Statements choosing the partner.,
63,movie,"""Just being around her again is… intoxicating.""",passion,,star wars,physical attraction statements,
64,movie,"""Well ya I just want you to be happy Mary""",intimacy,,there's something about mary,verbalised appreciation,
65,movie,"""But I'd be happiest with you.""",intimacy,,there's something about mary,verbalised appreciation,
66,movie,"""Cause I don't belong in a world where we don't end up together.""",commitment,,comet,Statements choosing the partner.,
67,movie,"""I love how she makes me feel, like anything is possible or like life is worth it.""",intimacy,,500 days of summer,verbalised appreciation,
68,movie,"""You should be kissed, every day, every hour, every minute.""",passion,,lucky one,Desire for physical closeness,
69,movie,"""After all… I’m also just a girl, standing in front of a boy, asking him to love her.""",intimacy,,notting hill,shared vulnrability,personal disclosure
70,movie,"""Everything I have ever done, I’ve done for you.""",commitment,,great expecttions,Sacrifice for the relationship,
71,movie,"""My heart is, and always will be, yours.""",commitment,,sense and sensibility,Statements choosing the partner.,
72,movie,"""You are the most important thing to me now. The most important thing to me ever.""",intimacy,,twilight,verbalised appreciation,
73,movie,"""I’ve loved you since the first day I met you. I’ve never stopped. I’ve just been waiting for you to catch up.""",commitment,,one day,Explicit declaration of love.,
74,movie,"""You make me want to be a better man.""",intimacy,,as good as it gets,personal disclosure,
75,movie,"""I was just taking her hand to help her out of a car, and I knew it. It was like magic.""",intimacy,,sleepless in seattle,personal disclosure,
76,movie,"""it would just be you…because it’s just you""",commitment,,crazy rich asians,Statements choosing the partner.,
77,movie,"""Rachel Chu, will you marry me? And make me the happiest man in this world?""",commitment,,crazy rich asians,Marriage or engagement references.,
78,movie,"""There's no one like you, Covey.""",intimacy,,to all the boys I've loved before,verbalised appreciation,
79,movie,"""Because the first time that I saw these hands, I couldn't imagine not being able to hold them""",passion,,"definitely,maybe",Desire for physical closeness.,
80,movie,"""I wanna marry you because you're the first person I wanna look at when I wake up in the morning""",commitment,,"definitely,maybe",Marriage or engagement references.,statements choosing the partner
81,movie,"""my beautiful, beautiful Makkari'",intimacy,,eternals,verbalised appreciation,
82,movie,"""a thousand times over. You kept me honest. You made me a whole person. I owe you everything""",intimacy,,the x files,personal disclosure,
83,movie,"""I forgot how good it felt to be held by you.""",intimacy,,the arrival,verbalised appreciation,
84,movie,"""You are the most important thing to me now. The most important thing to me ever.""",intimacy,,spiderman,verbalised appreciation,
85,movie,"""What if something happens to you because of me?""",intimacy,,the amazing spiderman,sharing fears,
86,movie,"""But for their love, they were willing to risk life itself""",commitment,,the mummy,Sacrifice for the relationship,
87,movie,"""I love you, Matt. You're my best friend.,Jenna... I've always loved you.""",commitment,,13 going on 30,Explicit declaration of love.,
88,movie,"""I like you very much. Just as you are""",intimacy,,bridget jones diary,verbalised appeciation,
89,movie,"""I love him. Always have. Always will""",commitment,,bridget jones diary,Explicit declaration of love.,
90,movie,"""You're the first boy I ever kissed, Jake, and I want you to be the last""",passion,,sweet home alabama,Desire for physical closeness,
91,movie,"""I wanted to hear your voice""",passion,,in the mood for love,Expressions of intense longing or craving.,
92,movie,"""We'll be together next year. And though I'm frightened, I believe in your being with me.""""",commitment,,Lady Chatterley's Lover,Future planning together.,Statements choosing the partner.
93,movie,"""I believe in the little flame between us. For me now, it's the only thing in the world... It's my Pentecost, the forked flame between me and you.""",intimacy,,Lady Chatterley's Lover,deep emotional connection,
94,movie,"""My love for you was the most important thing in my life. For better or worse, it made me understand who I am""",intimacy,,a dangerous method,personal disclosure,
95,movie,"""I'm awfully sorry to intrude, but I was so... struck with your beauty""",passion,,Last Tango in Paris,Physical attraction statements.,
96,movie,"""There's nowhere I'd rather be than here with you""",intimacy,,mr and mrs smith,verbalised appreciation,
97,movie,"""If he wanted me, I would give up everything.""",commitment,,Eyes Wide Shut ,Sacrifice for the relationship,
98,movie,"""And Alice, my dear, forgive the pitiful understatement but you look totally beautiful""",passion,,Eyes Wide Shut ,Physical attraction statements.,
99,movie,"""es, I'm drunk. And you're beautiful. And tomorrow morning, I'll be sober but you'll still be beautiful""""",passion,,the dreamers,Physical attraction statements.,
100,movie,"""I've loved you ever since I've known you, Jo—couldn't help it""",commitment,,little women,Explicit declaration of love.,
101,series,"""I will always choose you.""",commitment,,the vampire diaries,statements choosing the partner,
102,series,"""I knew that you were the woman that I wanted to dance all my dances with.""",commitment,,friends,statements choosing the partner,
103,series,"""You are the bane of my existence, and the object of all my desires.""",passion,,bridgerton,Explicit or implicit sexual desire,
104,series,"""When I look in your eyes, I see my home.""",intimacy,,this is us,verbalised apprectiation,
105,series,"""I’m not a religious person but I do sometimes think God made you for me""",commitment,,normal people,statements choosing the partner,
106,series,"""You make me really happy""",intimacy,,normal people,verbalised apprectiation,
107,series,"""i would never pretend to not know you connell""",commitment,,normal people,Loyalty despite hardship,
108,series,"""I'm still in love with him; I am. I've been in love with him since I was 23 years old. He's... He's everything to me.""",commitment,,ER,Explicit declaration of love.,intimacy undertone?
109,series,"""Three words. Eight letters. Say it and I'm yours.""",commitment,,gossip girl,statements choosing the partner,
110,series,"""Just keep looking at me.""",passion,,bridgerton,physical attraction statements,
111,series,"""You make me brave, and I will love you until the end of time.""",commitment,,smallville,Explicit declaration of love.,intimacy verbalised appreciation
112,series,"""And then I came here, and I realized that this whole time I was just wandering around everywhere, looking for you.""",commitment,,Parks And Recreation,statements choosing the partner,
113,series,"""I love the mother that you are. I love that you are still the most beautiful woman in any room and that you laugh with your entire face. I love that you dance funny, not sexy, which makes it even sexier, but most of all, I love that you are still the same woman who all those years ago ran out of a blind date because she simply had to sing""",commitment,,this is us,Explicit declaration of love.,
114,series,"""it's like my life isn't even real to me unless you're there and you're in it and I'm sharing it with you""",intimacy,,gilmore girls,personal disclosure,
115,series,"""When all my dreams come true, the one I want next to me- IT’S YOU""",commitment,,One Tree Hill,statements choosing the partner,
116,series,"""When I’m with her, I feel happy to be alive. Like I can do anything""",intimacy,,Boy Meets World,personal disclosure,
117,series,"""And you, with all your little flaws, and your little quirks, somehow you keep drawing me back in""",intimacy,,the oc,verbalised appreciation,
118,series,"""My heart calls your name""",passion,,queen charlotte,desire for physical closeness,
119,series,"""I seek you out at every social assembly because I know you will lift my spirits""",intimacy,,bridgerton,verbalised appretiation,
120,series,"""Every scar. Every flaw. Every imperfection. I love you""",commitment,,bridgerton,Explicit declaration of love.,
121,series,"""I have loved you from the moment we raced each other in that park. I’ve loved you at every dance, on every walk, every time we’ve been together, and every time we’ve been apart""",commitment,,bridgerton,Explicit declaration of love.,
122,series,"""I burn for you""",passion,,bridgerton,Explicit or implicit sexual desire,Expressions of intense longing or craving.
123,series,"""I cannot stop thinking of you""",passion,,bridgerton,Obsessive thinking about the partner.,
124,series,"""I love all of you. Even the parts you believe are too dark and too shameful.""",commitment,,bridgerton,Explicit declaration of love.,
125,series,"""Together we are whole""",intimacy,,bridgerton,verbalised appreciation,
126,series,"""I will stand with you between the heavens and the earth""",commitment,,bridgerton,statements choosing the partner,
127,series,"""Your eyes are the most remarkable shade of blue.""",passion,,bridgerton,physical attraction statements,
128,series,"""I don’t need you to save me. I just need you to stand by me. To hold me. To kiss me.""",passion,,bridgerton,desire for physical closeness,
129,series,"""How lucky I am to stand by your side and soak up even a little bit of your light""",intimacy,,bridgerton,verbalised appreciation,
130,series,"""Feelings like dreaming of you when I’m asleep""",passion,,bridgerton,desire for physical closeness,
131,series,"""You are perhaps the most intriguing person I’ve ever met.""",intimacy,,bridgerton,verbalised appreciation,
132,series,"""Do not leave me. Do not leave me again, my lady""",commitment,,bridgerton,Loyalty despite hardship,
133,series,"""It is you that I want now, Sophie""",commitment,,bridgerton,statements choosing the partner,
134,series,"""If you stay, I’m afraid I will not be able to hold it together.""",passion,,bridgerton,explicit or implicit sexual desire,
135,series,"""I am intent on showing you how serious I am about our future""",commitment,,bridgerton,statements choosing the partner,
136,series,"""I would very much like to make you a Bridgerton. Will you marry me?”""",commitment,,bridgerton,Marriage or engagement references.,
137,,,,,,,
138,,,,,,,
139,,,,,,,
140,,,,,,,
141,,,,,,,
142,,,,,,,
143,,,,,,,
144,,,,,,,
145,,,,,,,
146,,,,,,,
147,,,,,,,
148,,,,,,,
149,,,,,,,
150,,,,,,,
151,,,,,,,
152,,,,,,,
153,,total,135,,,,
154,,passion,29,,,,
155,,intimacy,46,,,,
156,,commitment,59,,,,
