id,source,text,label,scene_id,movie/series/book name,classification,notes,,
30,movie,"""I will return. I will find you. Love you. Marry you. And live without shame.""",commitment,,attonement,Statements choosing the partner.,Marriage or engagement references.,,
31,movie,"""I love you. I knew it the minute I met you. I’m sorry it took so long for me to catch up""",commitment,,silver linings playbook,Explicit declaration of love.,,,
32,movie,"""I would rather have had one breath of her hair, one kiss of her mouth, one touch of her hand, than eternity without it. One.""",passion,,city of angels,Desire for physical closeness.,,,
33,movie,"""I am here and I am looking at her. And she is so beautiful""",passion,,the perks of being a wallflower,Physical attraction statements,,,
34,movie,"""What I really want to do with my life – what I want to do for a living – is I want to be with your daughter. I’m good at it.""",commitment,,say anything,Statements choosing the partner.,,,
35,movie,"""You pierce my soul.""",intimacy,,persuation,verbalised appreciation,,,
36,movie,"""in another life, I would have really liked just doing laundry and taxes with you.""",commitment,,"Everything, Everywhere, All at Once",Statements choosing the partner.,secondary intimacy,,
37,movie,"""Look at her. I would die for her. I would kill for her""",commitment,,The Addams Family ,Sacrifice for the relationship,,,
38,movie,"""she says, 'I’m impressed' and he replies 'Well, I’m in love.""",commitment,,cruel intentions,Explicit declaration of love.,,,
39,movie,"""I want to grow old with you.""",commitment,,the wedding singer,Statements choosing the partner.,,,
40,movie,"""You make my heart skip a beat.""",passion,,no strings attached,Physical attraction statements.,,,
41,movie,"""Just tell me what you want and I'll be that for you.""",commitment,,the notebook,Sacrifice for the relationship,,,
42,movie,"""I... am madly in love with you, Penny. You're my favorite, favorite thing.""",commitment,,Seeking A Friend For The End Of The World,Explicit declaration of love.,,,
43,movie,"""You smelled so good, like you just woke up, slightly sweaty.""",passion,script page 73,eternal sunshine of the spotless mind,Physical attraction statements.,,,
44,movie,""" I've never loved anyone the way I loved you.""",intimacy,,HER,Verbalized appreciation.,shadow of commitment,,
45,movie,"""Nothing will be able to tear us apart then.""",commitment,,HER,statements choosing the partner.,,,
46,movie,"""Passionately, they gaze into each other’s eyes as the music plays.""",passion,,blue valentine,Physical attraction statements.,,,
47,movie,"""I vow to fiercely love you in all your forms, now and forever. """,commitment,,the vow,Explicit declaration of love.,,,
48,movie,"""But when I think of her - of Elisa - the only thing that comes to mind is a poem, whispered by someone in love""",intimacy,,the shape of water,verbalised appreciation,,,
49,movie,"""He sees me, for what I - am, as I am. He's happy - to see me.""",intimacy,,the shape of water,personal disclosure.,,,
50,movie,"""When I look at you, I can feel it. I look at you and I'm home.""",intimacy,,finding nemo,verbalised appreciation,,,
51,movie,"""When I first saw you, I felt like I knew you, and I couldn’t stop seeing my life with you, and building a family together.""",commitment,,The Light Between Oceans,Statements choosing the partner.,Future planning together,,
52,movie,"""Whatever our souls are made of, his and mine are the same.""",intimacy,,Wuthering Heights,shared vulnrability,,,
53,movie,"""If I had a flower for every time I thought of you… I could walk through my garden forever.""",passion,,Queen Mary,Obsessive thinking about the partner.,,,
54,movie,"""It’s like in that moment the whole universe existed just to bring us together.""",intimacy,,serendipity,verbalised appreciation,,,
55,movie,"""If you live to be a hundred, I want to live to be a hundred minus one day so I never have to live without you""",commitment,,winnie the pooh,Sacrifice for the relationship,,,
56,movie,""" I might be the only person on the face of the earth that knows you’re the greatest woman on earth. I might be the only one who appreciates how amazing you are in every single thing that you do""",intimacy,,as good as it gets,verbalised appreciation,,,
57,movie,"""You should be kissed and often, and by someone who knows how""",passion,,gone with the wind,Desire for physical closeness,,,
58,movie,"""You were my new dream""",intimacy,,tangled,verbalised appreciation,,,
59,movie,"""Meg, When I'm With You... I Don't Feel So Alone.""",intimacy,,Hercules,personal disclosure,verbalised appreciation,,
60,movie,"""For It's Plain As Anyone Can See, We're Simply Meant To Be.""",commitment,,The Nightmare Before Christmas,Statements choosing the partner.,,,
61,movie,"""I've Never Felt This Way About Anyone. I Want To Do Something For Her... But What?""",intimacy,,beauty and the beast,verbalised appreciation,,,
62,movie,"""I want all of you, forever, everyday. You and me everyday!""",commitment,,the notebook,Statements choosing the partner.,,,
63,movie,"""Just being around her again is… intoxicating.""",passion,,star wars,physical attraction statements,,,
64,movie,"""Well ya I just want you to be happy Mary""",intimacy,,there's something about mary,verbalised appreciation,,,
65,movie,"""But I'd be happiest with you.""",intimacy,,there's something about mary,verbalised appreciation,,,
66,movie,"""Cause I don't belong in a world where we don't end up together.""",commitment,,comet,Statements choosing the partner.,,,
67,movie,"""I love how she makes me feel, like anything is possible or like life is worth it.""",intimacy,,500 days of summer,verbalised appreciation,,,
68,movie,"""You should be kissed, every day, every hour, every minute.""",passion,,lucky one,Desire for physical closeness,,,
69,movie,"""After all… I’m also just a girl, standing in front of a boy, asking him to love her.""",intimacy,,notting hill,shared vulnrability,personal disclosure,,
70,movie,"""Everything I have ever done, I’ve done for you.""",commitment,,great expecttions,Sacrifice for the relationship,,,
71,movie,"""My heart is, and always will be, yours.""",commitment,,sense and sensibility,Statements choosing the partner.,,,
72,movie,"""You are the most important thing to me now. The most important thing to me ever.""",intimacy,,twilight,verbalised appreciation,,,
73,movie,"""I’ve loved you since the first day I met you. I’ve never stopped. I’ve just been waiting for you to catch up.""",commitment,,one day,Explicit declaration of love.,,,
74,movie,"""You make me want to be a better man.""",intimacy,,as good as it gets,personal disclosure,,,
75,movie,"""I was just taking her hand to help her out of a car, and I knew it. It was like magic.""",intimacy,,sleepless in seattle,personal disclosure,,,
76,movie,"""it would just be you…because it’s just you""",commitment,,crazy rich asians,Statements choosing the partner.,,,
77,movie,"""Rachel Chu, will you marry me? And make me the happiest man in this world?""",commitment,,crazy rich asians,Marriage or engagement references.,,,
78,movie,"""There's no one like you, Covey.""",intimacy,,to all the boys I've loved before,verbalised appreciation,,,
79,movie,"""Because the first time that I saw these hands, I couldn't imagine not being able to hold them""",passion,,"definitely,maybe",Desire for physical closeness.,,,
80,movie,"""I wanna marry you because you're the first person I wanna look at when I wake up in the morning""",commitment,,"definitely,maybe",Marriage or engagement references.,statements choosing the partner,,
81,movie,"""my beautiful, beautiful Makkari'",intimacy,,eternals,verbalised appreciation,,,
82,movie,"""a thousand times over. You kept me honest. You made me a whole person. I owe you everything""",intimacy,,the x files,personal disclosure,,,
83,movie,"""I forgot how good it felt to be held by you.""",intimacy,,the arrival,verbalised appreciation,,,
84,movie,"""You are the most important thing to me now. The most important thing to me ever.""",intimacy,,spiderman,verbalised appreciation,,,
85,movie,"""What if something happens to you because of me?""",intimacy,,the amazing spiderman,sharing fears,,,
86,movie,"""But for their love, they were willing to risk life itself""",commitment,,the mummy,Sacrifice for the relationship,,,
87,movie,"""I love you, Matt. You're my best friend.,Jenna... I've always loved you.""",commitment,,13 going on 30,Explicit declaration of love.,,,
88,movie,"""I like you very much. Just as you are""",intimacy,,bridget jones diary,verbalised appeciation,,,
89,movie,"""I love him. Always have. Always will""",commitment,,bridget jones diary,Explicit declaration of love.,,,
90,movie,"""You're the first boy I ever kissed, Jake, and I want you to be the last""",passion,,sweet home alabama,Desire for physical closeness,,,
91,movie,"""I wanted to hear your voice""",passion,,in the mood for love,Expressions of intense longing or craving.,,,
92,movie,"""We'll be together next year. And though I'm frightened, I believe in your being with me.""""",commitment,,Lady Chatterley's Lover,Future planning together.,Statements choosing the partner.,,
93,movie,"""I believe in the little flame between us. For me now, it's the only thing in the world... It's my Pentecost, the forked flame between me and you.""",intimacy,,Lady Chatterley's Lover,deep emotional connection,,,
94,movie,"""My love for you was the most important thing in my life. For better or worse, it made me understand who I am""",intimacy,,a dangerous method,personal disclosure,,,
95,movie,"""I'm awfully sorry to intrude, but I was so... struck with your beauty""",passion,,Last Tango in Paris,Physical attraction statements.,,,
96,movie,"""There's nowhere I'd rather be than here with you""",intimacy,,mr and mrs smith,verbalised appreciation,,,
97,movie,"""If he wanted me, I would give up everything.""",commitment,,Eyes Wide Shut ,Sacrifice for the relationship,,,
98,movie,"""And Alice, my dear, forgive the pitiful understatement but you look totally beautiful""",intimacy,,Eyes Wide Shut ,verbalised appreciation,,,
99,movie,"""es, I'm drunk. And you're beautiful. And tomorrow morning, I'll be sober but you'll still be beautiful""""",passion,,the dreamers,Physical attraction statements.,,,
100,movie,"""I've loved you ever since I've known you, Jo—couldn't help it""",commitment,,little women,Explicit declaration of love.,,,
101,series,"""I will always choose you.""",commitment,,the vampire diaries,statements choosing the partner,,,
102,series,"""I knew that you were the woman that I wanted to dance all my dances with.""",commitment,,friends,statements choosing the partner,,,
103,series,"""You are the bane of my existence, and the object of all my desires.""",passion,,bridgerton,Explicit or implicit sexual desire,,,
104,series,"""When I look in your eyes, I see my home.""",intimacy,,this is us,verbalised apprectiation,,,
105,series,"""I’m not a religious person but I do sometimes think God made you for me""",commitment,,normal people,statements choosing the partner,,,
106,series,"""You make me really happy""",intimacy,,normal people,verbalised apprectiation,,,
107,series,"""i would never pretend to not know you connell""",commitment,,normal people,Loyalty despite hardship,,,
108,series,"""I'm still in love with him; I am. I've been in love with him since I was 23 years old. He's... He's everything to me.""",commitment,,ER,Explicit declaration of love.,intimacy undertone?,,
109,series,"""Three words. Eight letters. Say it and I'm yours.""",commitment,,gossip girl,statements choosing the partner,,,
110,series,"""Just keep looking at me.""",passion,,bridgerton,physical attraction statements,,,
111,series,"""You make me brave, and I will love you until the end of time.""",commitment,,smallville,Explicit declaration of love.,intimacy verbalised appreciation,,
112,series,"""And then I came here, and I realized that this whole time I was just wandering around everywhere, looking for you.""",commitment,,Parks And Recreation,statements choosing the partner,,,
113,series,"I love the mother that you are. I love that you are still the most beautiful woman in any room and that you laugh with your entire face. I love that you dance funny, not sexy, which makes it even sexier, but most of all, I love that you are still the same woman who all those years ago ran out of a blind date because she simply had to sing",commitment,,this is us,Explicit declaration of love.,,,
114,series,"""it's like my life isn't even real to me unless you're there and you're in it and I'm sharing it with you""",intimacy,,gilmore girls,personal disclosure,,,
115,series,"""When all my dreams come true, the one I want next to me- IT’S YOU""",commitment,,One Tree Hill,statements choosing the partner,,,
116,series,"""When I’m with her, I feel happy to be alive. Like I can do anything""",intimacy,,Boy Meets World,personal disclosure,,,
117,series,"""And you, with all your little flaws, and your little quirks, somehow you keep drawing me back in""",intimacy,,the oc,verbalised appreciation,,,
118,series,"""My heart calls your name""",passion,,queen charlotte,desire for physical closeness,,,
119,series,"""I seek you out at every social assembly because I know you will lift my spirits""",intimacy,,bridgerton,verbalised appretiation,,,
120,series,"""Every scar. Every flaw. Every imperfection. I love you""",commitment,,bridgerton,Explicit declaration of love.,,,
121,series,"""I have loved you from the moment we raced each other in that park. I’ve loved you at every dance, on every walk, every time we’ve been together, and every time we’ve been apart""",commitment,,bridgerton,Explicit declaration of love.,,,
122,series,"""I burn for you""",passion,,bridgerton,Explicit or implicit sexual desire,Expressions of intense longing or craving.,,
123,series,"""I cannot stop thinking of you""",passion,,bridgerton,Obsessive thinking about the partner.,,,
124,series,"""I love all of you. Even the parts you believe are too dark and too shameful.""",commitment,,bridgerton,Explicit declaration of love.,,,
125,series,"""Together we are whole""",intimacy,,bridgerton,verbalised appreciation,,,
126,series,"""I will stand with you between the heavens and the earth""",commitment,,bridgerton,statements choosing the partner,,,
127,series,"""Your eyes are the most remarkable shade of blue.""",passion,,bridgerton,physical attraction statements,,,
128,series,"""I don’t need you to save me. I just need you to stand by me. To hold me. To kiss me.""",passion,,bridgerton,desire for physical closeness,,,
129,series,"""How lucky I am to stand by your side and soak up even a little bit of your light""",intimacy,,bridgerton,verbalised appreciation,,,
130,series,"""Feelings like dreaming of you when I’m asleep""",passion,,bridgerton,desire for physical closeness,,,
131,series,"""You are perhaps the most intriguing person I’ve ever met.""",intimacy,,bridgerton,verbalised appreciation,,,
132,series,"""Do not leave me. Do not leave me again, my lady""",commitment,,bridgerton,Loyalty despite hardship,,,
133,series,"""It is you that I want now, Sophie""",commitment,,bridgerton,statements choosing the partner,,,
134,series,"""If you stay, I’m afraid I will not be able to hold it together.""",passion,,bridgerton,explicit or implicit sexual desire,,,
135,series,"""I am intent on showing you how serious I am about our future""",commitment,,bridgerton,statements choosing the partner,,,
136,series,"""I would very much like to make you a Bridgerton. Will you marry me?”""",commitment,,bridgerton,Marriage or engagement references.,,,
137,series,"""We can be extraordinary together rather than ordinary apart""",commitment,,grey's anatomy,statements choosing the partner,,,
138,series,"""It was like I was drowning and you saved me""",intimacy,,grey's anatomy,personal disclosure,vulnerability,,
139,series,"""I promise you to lay my heart in the palm of your hands, I promise you me.""",commitment,,grey's anatomy,statements choosing the partner,,,
140,series,"""If you love me all so much, why are you still dressed?""",passion,,game of thrones,Explicit or implicit sexual desire.,,,
141,series,"""I dreamt of you""",passion,,game of thrones,desire for physical closeness,,,
142,series,"""I should have kissed you in Qarth... You were made to be kissed, often and well.""",passion,,game of thrones,Desire for physical closeness,Explicit or implicit sexual desire.,,
143,series,"""You’re mine. Mine, as I’m yours. """,commitment,,game of thrones,statements choosing the partner,,,
144,series,"""I know I want you,I love the smell of you, I love your red hair. I love your mouth, and the way you kiss me. I love your smile.""",passion,,game of thrones,physical attraction statements,,,
145,series,"""She was the one thing I ever wanted. And someone took her away from me. And the seven kingdoms couldn’t fill the whole in my heart she left behind""",intimacy,,game of thrones,personal disclosure,,,
146,series,""" And it's because I love you that I can't be selfish with you.""",commitment,,the vampire diaries,Sacrifice for the relationship,,,
147,series,"""He's your first love. I intend to be your last, however long it takes""",commitment,,the vampire diaries,statements choosing the partner,,,
148,series,"""You are by far the greatest thing that's happened to me in my 173 years on this Earth""",intimacy,,the vampire diaries,verbalised appeciation,,,
149,series,"""If there are infinite worlds, every version of me chooses you in every one of them""",commitment,,the summer I turned pretty,statements choosing the partner,,,
150,series,""" I need you in my life""",intimacy,,virgin river,personal disclosure,,,
151,series,"""You are the best thing that has ever been mine.""",intimacy,,new girl,verbalised appreciation,,,
152,series,"""You take my breath away... always""",passion,,the buccaneers,physical attraction statements,,,
153,series,"""she makes me feel like everything is gonna be fine""",intimacy,,riverdale,verbalised appreciation,,,
154,series,I've changed everything about myself and the one thing that never changes is that I love you.,commitment,,the summer I turned pretty,Explicit declaration of love.,,,
155,series,"I don't know how it happened, or when it happened. But now, you're my favorite person.",intimacy,,the summer I turned pretty,verbalised appreciation,,,
156,series,"Whenever I talk to you, I'm just happy.",intimacy,,the summer I turned pretty,verbalised appreciation,,,
157,series,I'd rather die than be without you,commitment,,outer banks,Sacrifice for the relationship,,,
158,series,I can't stop thinking about that kiss,passion,,orphan black,Obsessive thinking about the partner.,,,
159,series,Kiss me. I enjoy being kissed by you.,passion,,scenes of a marriage,desire for physical closeness,,,
160,series,"I can bear pain myself , but I couldna bear yours. That would take more strength than I have",intimacy,,outlander,shared vulnrability,,,
161,book,there is nothing of equal value to me,commitment,,the ballad of never after,statements choosing the partner,,,
162,book,he loved her so much he'd rewritten history,commitment,,a curse for true love,sacrifice for the relationship,,,
163,book,"But for tonight, let me pretend you’re mine.",passion,,the ballad of never after,desire for physical closeness,,,
164,book,break my heart. Break it a thousand times if you like. It was only ever yours to break anyway.,commitment,,the selection,sacrifice for the relationship,,, 
165,book,"And I’d choose you; in a hundred lifetimes, in a hundred worlds, in any version of reality",commitment,,The Chaos of Stars,statements choosing the partner,,,
166,book,"kiss me again, kiss me until I am sick of it",passion,,the wicked king,desire for physical closeness,,,
167,book,"I like you right now. I like you a lot. He gently sucked her skin. In fact, I can’t think of anything I like more.",passion,,once upon a broken heart,Explicit or implicit sexual desire,,,
168,book,you are the light to my darkness without you I am lost,intimacy,,twisted love,personal disclosure,,,
169,book,"I could recognize him by touch alone, by smell; I would know him blind, by the way his breaths came and his feet struck the earth. I would know him in death, at the end of the world.",intimacy,,The Song of Achilles,deep emotional connection,,,
170,book,"Come home and shout at me. Come home and fight with me. Come home and break my heart, if you must. Just come home.",commitment,,cardan's letters tp jude,loyalty despite hardship,,,
171,book,"Well, my world is very large. And you’re the most important person in it.",intimacy,,Marrying Winterborne,verbalised appreciaition,,,
172,book,Every part of you was made to be loved by me.,commitment,,Marrying Winterborne,statements choosing the partner,,,
173,book,"I love him so much. I love him more than I did yesterday, and I already know tomorrow I'll love him even more, because every piece of him he gives me is another to fall in love with.",commitment,,people we meet on vacation,explicit declaration of love,,,
174,book,There’s only one who crosses my mind a fuck-ton more than she should,passion,,nocticadia,obsessive thinking about the partner,,,
175,book,They stare because you’re the only thing worth staring at.,passion,,nocticadia,physical attraction statements,,,
176,book,I’m the only one allowed to touch you,passion,,does it hurt,Jealous intensity linked to desire,,,
177,movie,I wait for you. I always will,commitment,,the time traveller's wife,statements choosing the partner,,,
178,movie,I want you right now. Don’t make me wait.,passion,,9½ Weeks,Explicit or implicit sexual desire,,,
179,movie,I want to touch you. I’ve wanted to for days.,passion,,call me by your name,desire for physical closeness,,,
180,series,I feel safe with you. I’ve never felt that before.,intimacy,,normal people,verbalised appreciation,,,
181,movie,I feel infinite when I’m with you.,intimacy,,the perks of being a wallflower,verbalised appreciation,,,
182,movie,I will stay with you no matter what happens.,commitment,,me before you,statements choosing the partner,,,
183,series,I’m not going anywhere.,commitment,,grey's anatomy,statements choosing the partner,,,
184,synthetic,I want to kiss you right now.,passion,,none,Explicit or implicit sexual desire,,,
185,synthetic,Being this close to you is driving me crazy.,passion,,none,Explicit or implicit sexual desire,,,
186,synthetic,I can’t stop thinking about your body.,passion,,none,obsessive thinking about the partner,,,
187,synthetic,You understand me without me explaining,intimacy,,none,deep emotional connection,,,
188,synthetic,I want to spend my life with you.,commitment,,none,statements choosing the partner,,,
189,movie,I can’t stop thinking about touching you.,passion,,unfaithful,obsessive thinking about the partner,,,
190,series,I can’t control myself when I’m around you.,passion,,euphoria,Explicit or implicit sexual desire,,,
191,synthetic,I want to feel you next to me.,passion,,none,desire for physical closeness,,,
192,movie,I know you better than anyone.,intimacy,,marriage story,deep emotional connection,,,
193,synthetic,I don’t have to pretend with you.,intimacy,,none,personal disclosure,,,
194,book,"Lift your hips for me, love.",passion,,ignite me,desire for physical closeness,,,
195,synthetic,You're the best unexpected thing that's happened to me.,intimacy,,none,verbalised appreciaition,,,
196,synthetic,You've quietly become the most important part of my day,intimacy,,none,verbalised appreciaition,,,
197,synthetic,I'm finding you increasingly difficult to stop thinking about.,passion,,none,obsessive thinking about the partner,,,
198,synthetic,Waking up next to you is my favourite part of every single day,intimacy,,none,verbalised appreciaition,,,
199,synthetic,I want to explore every inch of you.,passion,,none,Explicit or implicit sexual desire,,,
200,synthetic,I can't forget the taste of your mouth,passion,,none,obsessive thinking about the partner,,,
201,qoute,You are my today and all of my tomorrows,commitment,,by Leo Christopher,statements choosing the partner,,,
202,qoute,"I look at him, and my body reacts in a way that it never has before",passion,,"D.L. Hess, Sir",Explicit or implicit sexual desire,,,
203,qoute,"You are the finest, loveliest, tenderest, and most beautiful person I have ever known and even that is an understatement.",intimacy,,by F. Scott Fitzgerald,verbalised appreciation,,,
204,book,"I love you, and I will love you until I die, and if there is life after that, I’ll love you then.",commitment,,city of glass,explicit declaration of love,,,
205,synthetic,your lips make me wonder what the rest of you would taste like,passion,,none,Explicit or implicit sexual desire,,,
206,synthetic,I want to undress you,passion,,none,Explicit or implicit sexual desire,,,
207,synthetic,Come closer. I want you.,passion,,none,Explicit or implicit sexual desire,,,
208,synthetic,I want you in my arms,passion,,none,desire for physical closeness,,,
209,synthetic,I can’t control myself around you,passion,,none,Explicit or implicit sexual desire,,,
210,synthetic,You make me feel understood.,intimacy,,none,verbalised appreciation,,,
211,book,"You’re the last person I think about before I go to sleep, and the first person I think about when I open my eyes in the morning",passion,,the mistake,obsessive thinking about the partner,,,
212,book,I will do anything that woman asks. I’d sell my soul to the devil himself if Allie told me to do it,commitment,,the score,sacrifice for the relationship,,,
213,book,You’re the only one for me. My sun rises and sets on your smile. My heart beats because yours does,commitment,,the goal,statements choosing the partner,,,
214,book,"I'll always come back to you. No matter how often I have to leave, just know that I will always come back for you.",commitment,,binding 13,Loyalty despite hardship,,,
215,book,I want you to know that you've been the best part of my day for every day since I was twelve years old.,intimacy,,saving 6,verbalised appreciation,,,
216,book,"If anything ever happened to you, it would destroy me.",intimacy,,releasing 10,personal disclosure,,,
217,book,"He was comfort, security, and need, all in one. It had a name. Home.",intimacy,,the seweetest oblivion,deep emotional connection,,,
218,book,You’re the only one I want.,commitment,,the maddest obsession,statements choosing the partner,,,
219,book,Why do you kiss me? Because you’re the only woman who’s ever tempted me. Because you love it.,passion,,the maddest obsession,Explicit or implicit sexual desire,,,
220,book,You’re enough for me.,intimacy,,the seweetest oblivion,verbalised appreciation,,,
221,book,I’ve thought about you so much you’re mine now.,passion,,the maddest obsession,obsessive thinking about the partner,,,
222,synthetic,I'm completely addicted to you.,passion,,none,Expressions of intense longing or craving,,,
223,synthetic,Just the thought of your touch makes my skin burn. I want to be near you right now.,passion,,none,desire for physical closeness,,,
224,synthetic,"I feel like I can tell you anything, even the parts of myself I’m usually ashamed of.",intimacy,,none ,personal disclosure,,,
225,synthetic,"You’ve seen me at my absolute worst, and yet you’re still the one I want to talk to first",intimacy,,none,verbalised appeciation,personal disclosure,,
226,synthetic,"You’ve seen me at my absolute worst, and yet you’re still the one I want to talk to first",commitment,,none,Future planning together,,,
227,synthetic,I don't just love you; I'm devoted to us. You are my home and my future.,commitment,,none,statements choosing the partner,,,
228,synthetic,I can’t even focus on what you’re saying because I’m so distracted by the way you look at me.,passion,,none ,physical attraction statements,,,
229,synthetic,I find myself counting down the minutes until I can finally touch you again.,passion,,none ,desire for physical closeness,,,
230,synthetic,I could listen to you talk for hours and never get enough.,intimacy,,none ,verbalised appreciation,,,
231,synthetic,I love how we can just sit in total silence together and it doesn’t feel awkward at all.,intimacy,,none ,mutual understanding,,,
232,synthetic,"I feel so seen when I'm with you, like you truly know the person I am underneath it all.",intimacy,,none ,personal disclosure,,,
233,synthetic,I trust you with my secrets more than I trust myself with them sometimes.,intimacy,,none ,Statements showing trust or reliance.,,,
234,synthetic,"I’m not just here for the easy parts; I’m here for the mess, the fights, and everything in between.",commitment,,none ,Loyalty despite hardship,,,
235,synthetic,"I’ve started imagining what our lives will look like ten years from now, and you’re in every version of it.",commitment,,none ,Future planning together,,,
236,synthetic,"You’re my person, and I’m going to keep showing up for you every single day.",commitment,,none ,statements choosing the partner,,,
237,synthetic,"You are a beautiful, dangerous distraction and I can't look away.",passion,,none ,physical attraction statements,,,
238,synthetic,The thought of your hand in mine is enough to make my heart skip three beats.,passion,,none ,desire for physical closeness,,,
239,synthetic,I want to memorize every inch of you until I can see you with my eyes closed,passion,,none ,Explicit or implicit sexual desire,,,
240,synthetic,"I can still feel the heat from your touch on my skin, even hours later.",passion,,none ,Explicit or implicit sexual desire,,,
241,synthetic,I want to be the one who keeps you up at night.,passion,,none ,Explicit or implicit sexual desire,,,
242,synthetic,"You’re all I can think about, all I want, and all I need right now.",passion,,none ,obsessive thinking about the partner,Explicit or implicit sexual desire,,
243,synthetic,"You are the only person who knows what I'm afraid of, and you never use it against me.",intimacy,,none ,shared vulnrability,,,
244,synthetic,Our connection feels deeper than just 'liking' each other; it's like we're tethered.,intimacy,,none ,deep emotional connection,,,
245,synthetic,I don't need a crowd when I have you; you're my entire world in one person.,intimacy,,none ,verbalised appreciation,,,
246,synthetic,I’ve never felt more understood by another human being in my life.,intimacy,,none,personal disclosure,,,
247,synthetic,"I love the way you see the world, and I love that you share that view with me.",intimacy,,none,verbalised appreciation,,,
248,synthetic,I feel like we have our own secret language that only the two of us speak.,intimacy,,none,mutual understanding,,,
249,synthetic,"I promise to stay, even when staying is the hardest thing to do.",commitment,,none,Loyalty despite hardship,,,
250,synthetic,"I’m yours, today, tomorrow, and every day that follows.",commitment,,none ,statements choosing the partner,,,
251,synthetic,"We are a team, and I will always have your back, no matter the cost.",commitment,,none ,sacrifice for the relationship,,,
252,synthetic,I want to feel your breath against my neck while the rest of the world disappears.,passion,,none,Explicit or implicit sexual desire,,,
253,synthetic,The way you look in that light makes it impossible for me to think about anything but touching you.,passion,,none,Explicit or implicit sexual desire,,,
254,synthetic,I want to trace every inch of your skin until I know it better than my own,passion,,none,desire for physical closeness,,,
255,synthetic,I want to ruin your lipstick and hear you whisper my name.,passion,,none,Explicit or implicit sexual desire,,,
256,synthetic,I want to be the only hand that ever touches your waist like that.,passion,,none,Jealous intensity linked to desire,,,
257,synthetic,I want to spend the whole night finding all the ways I can make you lose control.,passion,,none,Explicit or implicit sexual desire,,,
258,synthetic,You have no idea what the sound of your voice does to my self-control.,passion,,none,Explicit or implicit sexual desire,,,
259,synthetic,"I want you here, in my arms, right now—no excuses.",passion,,none,desire for physical closeness,,,
